wave,coder,code,name,bes_share,model_share,gap
7,human,12,Immigration,0.2437,0.24284,0.00086
7,human,13,Asylum,0.00324,0.00318,6e-05
7,human,14,Crime,0.00384,0.00387,-3e-05
7,human,15,Europe,0.29998,0.29929,0.00068
7,human,16,Constitutional,0.00072,0.00088,-0.00016
7,human,17,International trade,0.0012,0.00144,-0.00024
7,human,18,Devolution,0.00012,0.00021,-9e-05
7,human,19,Scot-ind,0.00468,0.00481,-0.00013
7,human,21,Foreign affairs,0.0012,0.00111,9e-05
7,human,22,War,0.00144,0.00145,-1e-05
7,human,23,Defence,0.006,0.0059,0.0001
7,human,24,Foreign emergency,0.0,1e-05,-1e-05
7,human,25,Domestic emergency,0.00012,0.0002,-8e-05
7,human,26,Economy-general,0.09011,0.0895,0.00061
7,human,27,Economy-personal,0.00048,0.00032,0.00016
7,human,28,Unemployment,0.01212,0.01228,-0.00017
7,human,29,Taxation,0.0054,0.00512,0.00028
7,human,30,Debt/deficit,0.0072,0.00729,-9e-05
7,human,31,Inflation,0.00024,0.00034,-0.0001
7,human,32,Living costs,0.0054,0.00579,-0.00039
7,human,33,Poverty,0.01152,0.01172,-0.0002
7,human,34,Austerity,0.02052,0.02016,0.00036
7,human,35,Inequality,0.02904,0.02835,0.00069
7,human,36,Housing,0.02376,0.02363,0.00013
7,human,37,Social care,0.00072,0.00056,0.00016
7,human,38,Pensions/ageing,0.0024,0.00251,-0.00011
7,human,39,Transport/infrastructure,0.00024,0.00041,-0.00017
7,human,40,Environment,0.018,0.01804,-4e-05
7,human,41,Pol values-auth,0.00048,0.00058,-0.0001
7,human,42,Pol values-liberal,0.0012,0.00121,-1e-05
7,human,43,Pol values-right,0.00024,0.00034,-0.0001
7,human,44,Pol values-left,0.0024,0.00256,-0.00016
7,human,45,Other,0.00024,0.00011,0.00013
7,human,46,Uncoded,0.0024,0.00292,-0.00052
7,human,47,Referendum unspecified,0.01224,0.01235,-0.00011
7,human,48,Coronavirus,0.0,0.00028,-0.00028
7,human,49,Covid-economy,0.0,0.00016,-0.00016
7,human,50,Gender/sexuality/family,0.0006,0.00055,5e-05
8,human,1,Health,0.04659,0.0464,0.00018
8,human,2,Education,0.00614,0.00575,0.00039
8,human,3,Election outcome,0.00088,0.00091,-4e-05
8,human,4,Pol-neg,0.01535,0.01526,8e-05
8,human,5,Partisan-neg,0.00932,0.0098,-0.00049
8,human,6,Societal divides,0.00121,0.00163,-0.00043
8,human,7,Morals,0.00186,0.00219,-0.00033
8,human,8,"Nat ident, goals-loss",0.00252,0.00255,-2e-05
8,human,9,Racism/discrimination,0.00263,0.00241,0.00022
8,human,10,Welfare,0.00515,0.00513,2e-05
8,human,11,Terrorism,0.03245,0.03239,5e-05
8,human,12,Immigration,0.26603,0.26524,0.00079
8,human,13,Asylum,0.00186,0.00153,0.00033
8,human,14,Crime,0.00438,0.00437,2e-05
8,human,15,Europe,0.35175,0.35101,0.00073
8,human,16,Constitutional,0.00077,0.00082,-5e-05
8,human,17,International trade,0.00099,0.00107,-8e-05
8,human,18,Devolution,0.0,0.00015,-0.00015
8,human,19,Scot-ind,0.00406,0.00463,-0.00057
8,human,21,Foreign affairs,0.00066,0.00077,-0.00011
8,human,22,War,0.00055,0.00063,-8e-05
8,human,23,Defence,0.00482,0.00455,0.00028
8,human,24,Foreign emergency,0.0,1e-05,-1e-05
8,human,25,Domestic emergency,0.00011,0.00017,-6e-05
8,human,26,Economy-general,0.08298,0.08318,-0.0002
8,human,27,Economy-personal,0.00033,0.00028,5e-05
8,human,28,Unemployment,0.00789,0.00766,0.00023
8,human,29,Taxation,0.00296,0.00303,-7e-05
8,human,30,Debt/deficit,0.00504,0.00497,8e-05
8,human,31,Inflation,0.00055,0.00061,-7e-05
8,human,32,Living costs,0.00373,0.00377,-4e-05
8,human,33,Poverty,0.00844,0.00863,-0.00019
8,human,34,Austerity,0.01798,0.01761,0.00037
8,human,35,Inequality,0.02598,0.02547,0.00051
8,human,36,Housing,0.0228,0.02282,-2e-05
8,human,37,Social care,0.00033,0.00038,-5e-05
8,human,38,Pensions/ageing,0.00219,0.0023,-0.00011
8,human,39,Transport/infrastructure,0.00055,0.00055,-0.0
8,human,40,Environment,0.01655,0.01683,-0.00028
8,human,41,Pol values-auth,0.0,0.00031,-0.00031
8,human,42,Pol values-liberal,0.00121,0.00157,-0.00036
8,human,43,Pol values-right,0.00022,0.00031,-9e-05
8,human,44,Pol values-left,0.00274,0.00299,-0.00025
8,human,45,Other,0.00022,0.0001,0.00012
8,human,46,Uncoded,0.00285,0.00329,-0.00044
8,human,47,Referendum unspecified,0.03398,0.03288,0.0011
8,human,48,Coronavirus,0.0,0.00044,-0.00044
8,human,49,Covid-economy,0.0,0.00013,-0.00013
8,human,50,Gender/sexuality/family,0.00044,0.00049,-5e-05
9,human,1,Health,0.02117,0.02127,-0.0001
